"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection"
"1","query_1","TRUE","0.00491578527362098","5","36","3","0.0833333333333333","0.6","CORUM:186","CORUM","Wave-2 complex","3383","93","CORUM:0000000","CORUM,CORUM,CORUM","CYFIP1,ABI1,NCKAP1"
"2","query_1","TRUE","0.0496068864487645","2","36","2","0.0555555555555556","1","CORUM:2411","CORUM","ITGA6-ITGB1-CD151 complex","3383","1027","CORUM:0000000","CORUM,CORUM","ITGB1,CD151"
"3","query_1","TRUE","0.0496068864487645","2","36","2","0.0555555555555556","1","CORUM:2419","CORUM","ITGA4-ITGB1-CD81 complex","3383","1032","CORUM:0000000","CORUM,CORUM","ITGB1,CD81"
"4","query_1","TRUE","5.17171662101406e-15","2115","97","43","0.443298969072165","0.0203309692671395","GO:0032879","GO:BP","regulation of localization","21110","8303","c(""GO:0050789"", ""GO:0051179"")","IMP IEA,ISS IEA,IDA,NAS IEA,IMP,IMP,IMP IEA,IDA IMP IBA IEA,IDA,ISS IBA IEA,IGI NAS,IDA ISS IEA,ISS IBA IEA,IMP,IMP ISS,IGI ISS,IDA,ISS IEA,IEA,IEA,IGI IBA,IDA IMP,IDA IMP,IMP HMP,IEA,IDA,IDA IMP IEA,IBA IEA,IEA,IDA,IMP ISS TAS IEA,IMP,IDA IC,IMP,ISS,ISS,IMP ISS IEA,IEA,IDA IMP IGI IEA,IDA IMP,IBA IEA,IEA,IC","STXBP3,IPO5,FCN1,SLC9A3R1,PLSCR1,EPB41L2,AHCYL1,FLOT1,EGFR,THY1,ITGB2,ITGB1,LYN,HCK,EPB41,ITGAM,PECAM1,ATP2B1,STOM,GNA11,RDX,BSG,CD151,CCT3,SLC16A1,ATP1B3,CD81,RAB8A,RHOA,TMSB4X,ARF6,GNAI1,GSTO1,RHOG,PTPRJ,STXBP2,ANO6,CYFIP1,PARK7,VAMP8,DNAJC5,CLIC5,CAB39"
"5","query_1","TRUE","2.06160198466569e-13","2964","97","48","0.494845360824742","0.0161943319838057","GO:0065008","GO:BP","regulation of biological quality","21110","16812","GO:0065007","IMP IBA IEA,IMP,IDA IMP IBA NAS IEA,IDA IMP,NAS,IEA,NAS,ISS IEA,IMP,ISS IBA IEA,IMP TAS,IMP,IMP ISS IEA,IBA IEA,IMP IGI IBA IEA,IDA IBA IEA,IBA IEA,IMP,IMP ISS IBA TAS,IEA,IDA,IMP,IBA IEA,IDA,IDA IMP IBA IEA,IMP,IDA IBA,IMP IEA,NAS IEA,IBA,IDA,HMP,IMP IEA,IEA,IBA,IMP ISS IBA IEA,IDA IMP,IEA,IMP,IMP IEP,IDA IMP ISS IEA,IMP IBA,TAS,IBA NAS IEA,IMP IEA,ISS,ISS,IDA IMP IBA IEA","STXBP3,SLC9A3R1,PLSCR1,FLOT1,AP2A1,KRAS,ITGB2,ITGB1,ATP5F1B,LYN,HCK,EPB41,ATP2B1,GNA11,RDX,ADD1,CAPZA2,CCT3,GNAQ,SLC16A1,ATP1B3,CD81,RAB8A,RAP2B,RHOA,RPS7,TMSB4X,ARF6,AP2B1,RHOG,PTPRJ,ILK,FLOT2,GNA13,STXBP2,ANO6,GNAS,CYFIP1,MYADM,NIBAN2,PARK7,VAMP8,DNAJC5,PLSCR3,CYRIB,NCKAP1,EPB41L3,F11R"
"6","query_1","TRUE","1.42384773050164e-12","1771","97","37","0.381443298969072","0.0208921513269339","GO:0051049","GO:BP","regulation of transport","21110","14219","c(""GO:0006810"", ""GO:0032879"")","IMP IEA,ISS IEA,IDA,NAS IEA,IMP,IMP IEA,IDA IMP IBA IEA,ISS IBA IEA,IGI NAS,ISS IEA,ISS IBA IEA,IMP,ISS,IGI ISS,ISS IEA,IEA,IEA,IGI IBA,IDA IMP,IDA IMP,IEA,IDA,IMP,IBA IEA,IEA,IDA,IMP TAS,IDA IC,ISS,ISS,IMP ISS IEA,IEA,IGI IEA,IDA IMP,IBA IEA,IEA,IC","STXBP3,IPO5,FCN1,SLC9A3R1,PLSCR1,AHCYL1,FLOT1,THY1,ITGB2,ITGB1,LYN,HCK,EPB41,ITGAM,ATP2B1,STOM,GNA11,RDX,BSG,CD151,SLC16A1,ATP1B3,CD81,RAB8A,RHOA,TMSB4X,ARF6,GSTO1,PTPRJ,STXBP2,ANO6,CYFIP1,PARK7,VAMP8,DNAJC5,CLIC5,CAB39"
"7","query_1","TRUE","2.03547775212751e-12","4802","97","59","0.608247422680412","0.01228654727197","GO:0006810","GO:BP","transport","21110","2546","GO:0051234","IMP IEP IBA IEA,IDA ISS IBA TAS IEA,IDA,IMP ISS NAS IEA,IDA IMP IBA IEA,IDA IBA TAS IEA,IMP IEA,IMP IGI IBA IEA,IDA IMP IBA IEA,IDA IBA IEA,IDA IMP IBA TAS NAS IEA,IEA,IDA,ISS IBA IEA,IGI ISS NAS IEA,ISS IEA,IMP IEA,ISS IBA TAS IEA,IMP TAS IEA,IEA,ISS,IGI ISS,IDA TAS IEA,IDA IEA,IDA ISS TAS IEA,IDA IBA IEA,IEA,IEA,IGI IBA,IDA IMP,IDA IMP,IEA,IDA ISS IBA TAS NAS IEA,IDA IGI IBA IEA,IMP ISS IEA,IDA IBA IEA,IEA,IDA,IDA IMP IBA TAS IEA,IDA IMP IBA TAS NAS IEA,IDA IC,IBA,IBA IEA,ISS,IEA,IMP ISS IEA,IDA ISS IBA TAS NAS IEA,IEP ISS IBA IEA,IDA IMP IGI ISS IBA TAS IEA,NAS,IEA,IMP IEP,IGI ISS IEA,IDA IMP IBA IEA,IBA TAS NAS IEA,IBA NAS IEA,IDA IEA,IC,IMP IBA IEA","STXBP3,IPO5,FCN1,SLC9A3R1,PLSCR1,SLC16A3,AHCYL1,RP2,FLOT1,SLC34A2,AP2A1,CLDN1,EGFR,THY1,ITGB2,ITGB1,ATP5F1B,LYN,HCK,GNAI3,EPB41,ITGAM,FOLR2,PECAM1,ATP2B1,MRC1,STOM,GNA11,RDX,BSG,CD151,CCT3,SLC16A1,ATP1B3,CD81,RAB8A,RHOA,TMSB4X,ARF6,AP2B1,GSTO1,RHOG,TNFAIP2,PTPRJ,FLOT2,RFTN1,SLC1A5,STXBP2,ANO6,GNAS,CYFIP1,NIBAN2,PARK7,VAMP8,DNAJC5,PLSCR3,CLIC5,CAB39,F11R"
"8","query_1","TRUE","4.69174202231323e-12","350","97","19","0.195876288659794","0.0542857142857143","GO:1990778","GO:BP","protein localization to cell periphery","21110","26530","GO:0008104","IMP IBA,IMP,IMP IBA IEA,IDA,IDA,IMP,IMP ISS,IMP ISS IEA,IDA,IDA IMP,ISS IBA IEA,ISS IEA,IMP,IMP,IMP IBA,IMP,IDA,ISS,IMP","SLC9A3R1,EPB41L2,FLOT1,EGFR,ITGB1,EPB41,RDX,BSG,ATP1B3,CD81,RAB8A,ARF6,GNAI1,RHOG,FLOT2,MYADM,VAMP8,EPB41L3,F11R"
"9","query_1","TRUE","5.86693529829428e-12","5604","97","63","0.649484536082474","0.0112419700214133","GO:0051179","GO:BP","localization","21110","14323","GO:0008150","IMP IEP IBA IEA,IDA ISS IBA TAS IEA,IDA,IMP ISS IBA NAS IEA,IDA IMP IBA IEA,IDA IBA TAS IEA,IMP,IMP IEA,IMP IGI IBA IEA,IDA IMP IBA IEA,IDA IBA IEA,IDA IMP IBA TAS NAS IEA,IEA,IDA TAS,ISS IBA IEA,IMP IGI ISS NAS IEA,IDA IMP ISS IEA,IMP IEA,ISS IBA TAS IEA,EXP IMP TAS IEA,IEA,IMP ISS,IGI ISS,IDA TAS IEA,IDA IEA,IDA ISS TAS IEA,IDA IBA IEA,IEA,IEA,IMP IGI ISS IBA IEA,IDA IMP ISS IEA,IDA IMP,IMP HMP IEA,IDA ISS IBA TAS NAS IEA,IDA IGI IBA IEA,IDA IMP ISS IEA,IDA ISS IBA IEA,IEA,IDA IMP IBA,IDA IMP ISS IBA TAS IEA,IDA IMP IBA TAS NAS IEA,IMP,IDA IC,IMP IBA,IBA IEA,ISS,IMP IBA IEA,IMP ISS IEA,IDA ISS IBA TAS NAS IEA,IEP ISS IBA IEA,IDA IMP IGI ISS IBA TAS IEA,NAS,IEA,IMP,IMP IEP,IDA IMP IGI ISS IEA,IDA IMP IBA IEA,IBA TAS NAS IEA,IBA NAS IEA,IDA IEA,ISS,IC,IMP IBA IEA","STXBP3,IPO5,FCN1,SLC9A3R1,PLSCR1,SLC16A3,EPB41L2,AHCYL1,RP2,FLOT1,SLC34A2,AP2A1,CLDN1,EGFR,THY1,ITGB2,ITGB1,ATP5F1B,LYN,HCK,GNAI3,EPB41,ITGAM,FOLR2,PECAM1,ATP2B1,MRC1,STOM,GNA11,RDX,BSG,CD151,CCT3,SLC16A1,ATP1B3,CD81,RAB8A,RHOA,TMSB4X,ARF6,AP2B1,GNAI1,GSTO1,RHOG,TNFAIP2,PTPRJ,FLOT2,RFTN1,SLC1A5,STXBP2,ANO6,GNAS,CYFIP1,MYADM,NIBAN2,PARK7,VAMP8,DNAJC5,PLSCR3,CLIC5,EPB41L3,CAB39,F11R"
"10","query_1","TRUE","1.00757894681782e-11","4964","97","59","0.608247422680412","0.0118855761482675","GO:0051234","GO:BP","establishment of localization","21110","14353","GO:0051179","IMP IEP IBA IEA,IDA ISS IBA TAS IEA,IDA,IMP ISS NAS IEA,IDA IMP IBA IEA,IDA IBA TAS IEA,IMP IEA,IMP IGI IBA IEA,IDA IMP IBA IEA,IDA IBA IEA,IDA IMP IBA TAS NAS IEA,IEA,IDA TAS,ISS IBA IEA,IGI ISS NAS IEA,IMP ISS IEA,IMP IEA,ISS IBA TAS IEA,IMP TAS IEA,IEA,ISS,IGI ISS,IDA TAS IEA,IDA IEA,IDA ISS TAS IEA,IDA IBA IEA,IEA,IEA,IGI ISS IBA,IDA IMP,IDA IMP,IMP IEA,IDA ISS IBA TAS NAS IEA,IDA IGI IBA IEA,IMP ISS IEA,IDA IBA IEA,IEA,IDA,IDA IMP IBA TAS IEA,IDA IMP IBA TAS NAS IEA,IDA IC,IBA,IBA IEA,ISS,IEA,IMP ISS IEA,IDA ISS IBA TAS NAS IEA,IEP ISS IBA IEA,IDA IMP IGI ISS IBA TAS IEA,NAS,IEA,IMP IEP,IGI ISS IEA,IDA IMP IBA IEA,IBA TAS NAS IEA,IBA NAS IEA,IDA IEA,IC,IMP IBA IEA","STXBP3,IPO5,FCN1,SLC9A3R1,PLSCR1,SLC16A3,AHCYL1,RP2,FLOT1,SLC34A2,AP2A1,CLDN1,EGFR,THY1,ITGB2,ITGB1,ATP5F1B,LYN,HCK,GNAI3,EPB41,ITGAM,FOLR2,PECAM1,ATP2B1,MRC1,STOM,GNA11,RDX,BSG,CD151,CCT3,SLC16A1,ATP1B3,CD81,RAB8A,RHOA,TMSB4X,ARF6,AP2B1,GSTO1,RHOG,TNFAIP2,PTPRJ,FLOT2,RFTN1,SLC1A5,STXBP2,ANO6,GNAS,CYFIP1,NIBAN2,PARK7,VAMP8,DNAJC5,PLSCR3,CLIC5,CAB39,F11R"
